m_hidden,sparsity,seed,checkpoint_step,n_eigenspaces,n_eigenvectors,degeneracy_ratio,n_clusters,mean_participation_ratio,mean_max_space_projection
144,0.24244897959183673,1,25000,136,144,0.9444444444444444,15,33.50086836171225,0.1527199576223296
144,0.2626530612244898,0,25000,139,144,0.9652777777777778,28,38.569056455537954,0.12388797544238048
144,0.2626530612244898,1,25000,137,144,0.9513888888888888,33,38.54522234400872,0.13045422266470003
144,0.28285714285714286,0,25000,136,144,0.9444444444444444,35,39.69139396279741,0.11708548600539899
144,0.28285714285714286,1,25000,139,144,0.9652777777777778,33,39.986262801602805,0.12221257614114157
144,0.3030612244897959,0,25000,140,144,0.9722222222222222,35,41.277294551536386,0.10907129995146653
144,0.3030612244897959,1,25000,138,144,0.9583333333333334,37,40.44180442396658,0.1150863143478087
144,0.32326530612244897,0,25000,139,144,0.9652777777777778,36,41.12379504805463,0.1056107119882128
144,0.32326530612244897,1,25000,133,144,0.9236111111111112,32,39.56908841326056,0.11207536571785987
144,0.34346938775510205,0,25000,142,144,0.9861111111111112,32,36.68887646783426,0.1107385236078213
144,0.34346938775510205,1,25000,139,144,0.9652777777777778,27,35.798579064587464,0.11673199342282253
144,0.3636734693877551,0,25000,141,144,0.9791666666666666,21,30.500070359119224,0.12877821400170314
144,0.3636734693877551,1,25000,141,144,0.9791666666666666,20,36.9083070663124,0.11325089762806825
144,0.38387755102040816,0,25000,141,144,0.9791666666666666,8,28.06510109273382,0.14849158301269239
144,0.38387755102040816,1,25000,136,144,0.9444444444444444,9,32.090921685734145,0.13042956362159336
144,0.4040816326530612,0,25000,138,144,0.9583333333333334,12,15.287256309087756,0.18925663891532662
144,0.4040816326530612,1,25000,138,144,0.9583333333333334,15,16.515968726923344,0.18689765841455772
144,0.42428571428571427,0,25000,134,144,0.9305555555555556,15,13.688518275298831,0.1994630859773805
144,0.42428571428571427,1,25000,137,144,0.9513888888888888,14,14.194142349277238,0.2034475130776064
144,0.44448979591836735,0,25000,133,144,0.9236111111111112,15,15.906430484590688,0.19385292426577078
144,0.44448979591836735,1,25000,138,144,0.9583333333333334,13,15.002565182740062,0.21502138548796895
144,0.4646938775510204,0,25000,132,144,0.9166666666666666,14,15.628102798668703,0.22226047485081796
144,0.4646938775510204,1,25000,135,144,0.9375,11,15.768717445557092,0.2381056101294326
144,0.48489795918367345,0,25000,134,144,0.9305555555555556,9,16.31502773701321,0.24589065077938752
144,0.48489795918367345,1,25000,139,144,0.9652777777777778,10,16.775663417857352,0.2397144383595411
144,0.5051020408163265,0,25000,142,144,0.9861111111111112,6,17.904546089026432,0.2629083833959578
144,0.5051020408163265,1,25000,138,144,0.9583333333333334,7,17.945270276958986,0.2646351377991741
144,0.5253061224489796,0,25000,142,144,0.9861111111111112,3,19.23641988242749,0.25590468703072444
144,0.5253061224489796,1,25000,142,144,0.9861111111111112,2,19.740634601785715,0.26314206431111525
144,0.5455102040816326,0,25000,133,144,0.9236111111111112,3,19.234890950575647,0.2635441738072444
144,0.5455102040816326,1,25000,139,144,0.9652777777777778,3,20.62722905479759,0.2504480139212616
144,0.5657142857142857,0,25000,137,144,0.9513888888888888,3,20.661066439890096,0.248301459994476
144,0.5657142857142857,1,25000,138,144,0.9583333333333334,3,20.571763515929966,0.2511788371801551
144,0.5859183673469388,0,25000,140,144,0.9722222222222222,1,21.704299070723696,0.24103811945375042
144,0.5859183673469388,1,25000,138,144,0.9583333333333334,1,20.70241394974999,0.25088290366340527
