file,m,seed,n,exp_type,mean_sparsity,min_sparsity,max_sparsity,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m256_nonuniform_seed122.h5,256,122,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64255130935635,0.9986037160521732,0.9986037160521732,0.0013962839478267597,0.04519660926293968,0.0013962839478271036,1.4822502801478377,0.2500000000000001,0.015917819212297978,0.003861274464646231,0.0
n1024_m256_nonuniform_seed123.h5,256,123,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63873895622964,0.998588824047772,0.998588824047772,0.00141117595222795,0.045206863959865166,0.0014111759522284298,1.4776252274147086,0.2500000000000001,0.01546667694731621,0.004328817563267015,0.0
n1024_m256_nonuniform_seed124.h5,256,124,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64737840302405,0.9986225718868127,0.9986225718868127,0.0013774281131873067,0.0452010059823,0.00137742811318793,1.4884014731240833,0.25000000000000017,0.015051688089572152,0.004143616618063582,0.0
n1024_m256_nonuniform_seed125.h5,256,125,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64275214110967,0.9986045005512096,0.9986045005512096,0.0013954994487903605,0.045326461725546954,0.0013954994487908586,1.4941597164512936,0.2500000000000001,0.014932789118185595,0.004562903057459306,0.0
n1024_m256_nonuniform_seed126.h5,256,126,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6472788836254,0.9986221831391617,0.9986221831391617,0.0013778168608382657,0.04518063876802725,0.001377816860838818,1.4803350772451882,0.25000000000000017,0.01489857792532656,0.003933544203957611,0.0
n1024_m256_nonuniform_seed127.h5,256,127,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64082767161017,0.9985969830922272,0.9985969830922272,0.0014030169077727805,0.04530007479430918,0.0014030169077732075,1.4760384536814313,0.2500000000000001,0.01652484474034744,0.003767805182125185,0.0
n1024_m256_nonuniform_seed128.h5,256,128,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6321837091964,0.9985632176140484,0.9985632176140484,0.0014367823859515738,0.04601649852348193,0.0014367823859518407,1.4863130085733265,0.2500000000000001,0.015351984265382016,0.004389938452951346,0.0
n1024_m256_nonuniform_seed129.h5,256,129,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63502031069947,0.9985742980886698,0.9985742980886698,0.0014257019113301794,0.045789309898707824,0.0014257019113306025,1.4929891230231174,0.2500000000000001,0.014851435760514411,0.004589471594852797,0.0
n1024_m256_nonuniform_seed13.h5,256,13,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6407267674076,0.998596588935186,0.998596588935186,0.0014034110648140086,0.04527179648779419,0.0014034110648143293,1.4809328157928057,0.25000000000000006,0.015583310420195286,0.0043590527198547144,1.8978182009041389e-06
n1024_m256_nonuniform_seed130.h5,256,130,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6335207765369,0.9985684405333473,0.9985684405333473,0.0014315594666527431,0.04605937000367652,0.0014315594666531825,1.4810518316924874,0.2500000000000001,0.015513716367849335,0.0039918089004757126,0.0
n1024_m256_nonuniform_seed131.h5,256,131,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64175926374446,0.9986006221240018,0.9986006221240018,0.0013993778759981979,0.045673884616155055,0.001399377875998525,1.4889384281755789,0.2500000000000001,0.015048724884573287,0.004185101650473826,0.0
n1024_m256_nonuniform_seed132.h5,256,132,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64686273432744,0.9986205575559666,0.9986205575559666,0.0013794424440334296,0.04509512792107884,0.001379442444033812,1.4835312987051232,0.2500000000000001,0.014785068055313258,0.003881060608957491,0.0
n1024_m256_nonuniform_seed133.h5,256,133,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64406090628472,0.9986096129151747,0.9986096129151747,0.0013903870848253064,0.045233987852895646,0.0013903870848258246,1.4799211159551564,0.2500000000000001,0.01521194939886781,0.003931296497941726,0.0
n1024_m256_nonuniform_seed134.h5,256,134,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64849463340943,0.9986269321617556,0.9986269321617556,0.001373067838244424,0.04498107884026502,0.0013730678382448743,1.479348470386593,0.2500000000000001,0.015492840228568255,0.0034620262522644307,0.0
n1024_m256_nonuniform_seed135.h5,256,135,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64324972631584,0.9986064442434213,0.9986064442434213,0.0013935557565787349,0.045307664969514994,0.0013935557565792796,1.4859110249118928,0.25000000000000017,0.015391158916736203,0.003870520314229525,0.0
n1024_m256_nonuniform_seed136.h5,256,136,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6396718648175,0.9985924682219434,0.9985924682219434,0.0014075317780566365,0.04564324207658691,0.001407531778056813,1.4939704284745428,0.25000000000000006,0.01518036571702995,0.004309962701556402,0.0
n1024_m256_nonuniform_seed137.h5,256,137,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64067203001468,0.9985963751172449,0.9985963751172449,0.001403624882755139,0.045745683994857185,0.0014036248827555165,1.4863250549158449,0.2500000000000001,0.014570273967808838,0.004175731548592715,0.0
n1024_m256_nonuniform_seed138.h5,256,138,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6463426026603,0.9986185257916418,0.9986185257916418,0.0013814742083582132,0.04524143909417445,0.0013814742083585309,1.4849835973955676,0.2500000000000001,0.01569854363981903,0.004080106866735832,0.0
n1024_m256_nonuniform_seed139.h5,256,139,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6475324905041,0.9986231737910316,0.9986231737910316,0.0013768262089683958,0.045016670342740914,0.0013768262089687727,1.480143793859379,0.25000000000000006,0.01586799855925656,0.003433933692402038,0.0
n1024_m256_nonuniform_seed14.h5,256,14,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63334078766638,0.9985677374518218,0.9985677374518218,0.001432262548178187,0.045881735720782434,0.0014322625481787428,1.4839106687618788,0.2500000000000001,0.01511544761796656,0.00402194522984139,0.0
n1024_m256_nonuniform_seed140.h5,256,140,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64585716278816,0.9986166295421413,0.9986166295421413,0.0013833704578587458,0.0450888609971484,0.001383370457859216,1.4856259246200152,0.2500000000000001,0.015846936487377103,0.004092196634502159,0.0
n1024_m256_nonuniform_seed141.h5,256,141,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64044208583073,0.9985954768977763,0.9985954768977763,0.0014045231022237203,0.04556633579934357,0.0014045231022243427,1.4861942985491128,0.25000000000000017,0.015180893224837382,0.003898619444723835,0.0
