file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m112_s0.323265_seed1.h5,112,0.32326530612244897,1,1024,112,1.0,111.91409184510121,0.9992329629026894,0.9992329629026894,0.00076703709731063,0.0274138151113133,0.000767037097310467,1.0804707115852192,0.10937499999999999,3.5752006958997728e-06,0.0,0.0
n1024_m112_s0.343469_seed0.h5,112,0.34346938775510205,0,1024,112,1.0,111.89464870134543,0.9990593634048699,0.9990593634048699,0.0009406365951301066,0.029754094758105025,0.0009406365951299618,1.0942405759135438,0.109375,0.00015556764283010277,0.0,0.0
n1024_m112_s0.343469_seed1.h5,112,0.34346938775510205,1,1024,112,1.0,111.904344199982,0.9991459303569822,0.9991459303569822,0.0008540696430178185,0.028867112902067282,0.0008540696430177304,1.0960539182852893,0.109375,0.0001137363842032735,0.0,0.0
n1024_m112_s0.363673_seed0.h5,112,0.3636734693877551,0,1024,112,1.0,111.85877910106501,0.9987390991166519,0.9987390991166519,0.0012609008833480706,0.03263036865734449,0.0012609008833477434,1.127917299384875,0.10937499999999996,0.000162352287391035,0.0,0.0
n1024_m112_s0.363673_seed1.h5,112,0.3636734693877551,1,1024,112,1.0,111.8511081692559,0.9986706086540705,0.9986706086540705,0.0013293913459294648,0.03372497066710426,0.0013293913459290678,1.1277333105452452,0.10937499999999994,0.00015384591815055198,0.0,0.0
n1024_m112_s0.383878_seed0.h5,112,0.38387755102040816,0,1024,112,1.0,111.78423313502572,0.9980735101341581,0.9980735101341581,0.0019264898658418739,0.03793089023459061,0.0019264898658415978,1.1598203625106045,0.10937499999999997,0.00016773359746233654,0.0,0.0
n1024_m112_s0.383878_seed1.h5,112,0.38387755102040816,1,1024,112,1.0,111.79205518729577,0.9981433498865694,0.9981433498865694,0.0018566501134306135,0.03740479309004683,0.0018566501134299257,1.163034455124122,0.10937499999999993,0.0001529053350315726,0.0,0.0
n1024_m112_s0.404082_seed0.h5,112,0.4040816326530612,0,1024,112,1.0,111.69511867972324,0.9972778453546718,0.9972778453546718,0.002722154645328212,0.045692456470057756,0.002722154645327548,1.2458168571666253,0.10937499999999992,0.14274420750849323,0.0,0.0
n1024_m112_s0.404082_seed1.h5,112,0.4040816326530612,1,1024,112,1.0,111.69546585610078,0.997280945143757,0.997280945143757,0.0027190548562430195,0.04790972161710339,0.0027190548562425333,1.2300869140085622,0.10937499999999994,0.06881650303760366,0.0,0.0
n1024_m112_s0.424286_seed0.h5,112,0.42428571428571427,0,1024,112,1.0,111.6143472038093,0.9965566714625831,0.9965566714625831,0.003443328537416912,0.053383998716907834,0.003443328537416223,1.3700936440345122,0.10937499999999992,0.20469712591614572,0.00013617533973630586,0.0
n1024_m112_s0.424286_seed1.h5,112,0.42428571428571427,1,1024,112,1.0,111.6235961986531,0.9966392517736884,0.9966392517736884,0.003360748226311605,0.053920132626737345,0.003360748226311125,1.3404880266822132,0.10937499999999994,0.1873147699428073,0.00013305654627341736,0.0
n1024_m112_s0.444490_seed0.h5,112,0.44448979591836735,0,1024,112,1.0,111.56690364766109,0.9961330682826883,0.9961330682826883,0.0038669317173116724,0.057773476587326185,0.0038669317173111286,1.4912570094767135,0.10937499999999994,0.21558350587685465,0.00011152116015329044,0.0
n1024_m112_s0.444490_seed1.h5,112,0.44448979591836735,1,1024,112,1.0,111.56048657666543,0.9960757730059413,0.9960757730059413,0.003924226994058699,0.05821260034284579,0.003924226994058042,1.5049618687365374,0.10937499999999992,0.2175441862962271,0.00011019554040254708,0.0
n1024_m112_s0.464694_seed0.h5,112,0.4646938775510204,0,1024,112,1.0,111.52419702743646,0.9957517591735398,0.9957517591735398,0.004248240826460248,0.0605184711029674,0.004248240826459659,1.5871367023470038,0.10937499999999994,0.20363519740584696,0.0001018476585324611,0.0
n1024_m112_s0.464694_seed1.h5,112,0.4646938775510204,1,1024,112,1.0,111.53667091888201,0.9958631332043036,0.9958631332043036,0.004136866795696359,0.059184397406856736,0.004136866795695417,1.5829221717504696,0.1093749999999999,0.1927995031279843,0.00011245732726765216,0.0
n1024_m112_s0.484898_seed0.h5,112,0.48489795918367345,0,1024,112,1.0,111.49430605449015,0.9954848754865192,0.9954848754865192,0.004515124513480795,0.059466487147696714,0.004515124513480436,1.6945864267231283,0.10937499999999996,0.14957449828770147,0.0029694630182489612,0.0
n1024_m112_s0.484898_seed1.h5,112,0.48489795918367345,1,1024,112,1.0,111.50395522904,0.9955710288307144,0.9955710288307144,0.004428971169285645,0.05983473806775663,0.004428971169284922,1.6829060037977979,0.10937499999999992,0.15558556520863395,0.0013765933662720459,0.0
n1024_m112_s0.505102_seed0.h5,112,0.5051020408163265,0,1024,112,1.0,111.48587256448809,0.9954095764686437,0.9954095764686437,0.004590423531356302,0.05983389542895028,0.00459042353135585,1.7561529622901741,0.10937499999999994,0.1256397887471517,0.011243818946313183,1.7747123414236837e-06
n1024_m112_s0.505102_seed1.h5,112,0.5051020408163265,1,1024,112,1.0,111.48971662991971,0.995443898481426,0.995443898481426,0.004556101518573996,0.05988737896305934,0.004556101518573223,1.7484454052474654,0.10937499999999992,0.13436765851821886,0.00732844872687484,0.0
n1024_m112_s0.525306_seed0.h5,112,0.5253061224489796,0,1024,112,1.0,111.52020374398853,0.9957161048570404,0.9957161048570404,0.004283895142959571,0.0538478143333763,0.004283895142959339,1.8472069950344727,0.10937499999999997,0.06914384468165699,0.04175201755693666,0.0012720142217122637
n1024_m112_s0.525306_seed1.h5,112,0.5253061224489796,1,1024,112,1.0,111.49973428049998,0.9955333417901784,0.9955333417901784,0.004466658209821617,0.056499564625318466,0.0044666582098215986,1.8245106831896405,0.109375,0.08961625406715269,0.03231824864844136,8.927743916593903e-05
n1024_m112_s0.545510_seed0.h5,112,0.5455102040816326,0,1024,112,1.0,111.57980973542726,0.996248301209172,0.996248301209172,0.0037516987908280397,0.04956733165469367,0.0037516987908279053,1.9022857143254763,0.10937499999999997,0.04223056472949051,0.03799152872946673,0.009592481494064529
n1024_m112_s0.545510_seed1.h5,112,0.5455102040816326,1,1024,112,1.0,111.52511648584914,0.995759968623653,0.995759968623653,0.004240031376346987,0.05338563735741686,0.004240031376346389,1.8873853774198264,0.10937499999999993,0.0598746331115375,0.04633201380498456,0.0030648241351120156
n1024_m112_s0.565714_seed0.h5,112,0.5657142857142857,0,1024,112,1.0,111.61212936225638,0.9965368693058606,0.9965368693058606,0.0034631306941393936,0.04750274650103146,0.003463130694139245,1.9371036470550154,0.10937499999999997,0.03313666896385759,0.03234547923875363,0.014655542336294338
n1024_m112_s0.565714_seed1.h5,112,0.5657142857142857,1,1024,112,1.0,111.575557929973,0.9962103386604733,0.9962103386604733,0.0037896613395267398,0.049683509550320894,0.0037896613395267237,1.929199928047304,0.109375,0.0419543655997624,0.03808442482547931,0.01076962645563648
n1024_m112_s0.585918_seed0.h5,112,0.5859183673469388,0,1024,112,1.0,111.6623681178462,0.9969854296236268,0.9969854296236268,0.0030145703763732046,0.04587822188684118,0.0030145703763730315,1.9661748585657077,0.10937499999999999,0.02423462118520456,0.023953198550520083,0.01732004144967466
n1024_m112_s0.585918_seed1.h5,112,0.5859183673469388,1,1024,112,1.0,111.60590372249135,0.9964812832365298,0.9964812832365298,0.0035187167634701533,0.048379663677479236,0.0035187167634698003,1.9586262453767762,0.10937499999999997,0.0330102561872031,0.031556584115202305,0.01584923778697671
n1024_m112_s0.606122_seed0.h5,112,0.6061224489795918,0,1024,112,1.0,111.73990981755196,0.9976777662281425,0.9976777662281425,0.0023222337718574737,0.042547660817534194,0.002322233771857362,1.9930295676454715,0.10937499999999999,0.015306034124249033,0.015234388068388217,0.01464232873439927
n1024_m112_s0.606122_seed1.h5,112,0.6061224489795918,1,1024,112,1.0,111.74414149440418,0.9977155490571802,0.9977155490571802,0.0022844509428198156,0.042330498715970735,0.002284450942819718,1.9925376278277298,0.10937499999999997,0.015208346272972215,0.015084687918867757,0.013921444852495635
n1024_m112_s0.626327_seed0.h5,112,0.6263265306122449,0,1024,112,1.0,111.73759866473847,0.997657130935165,0.997657130935165,0.0023428690648350514,0.04357105880882198,0.0023428690648347665,2.008568140478251,0.10937499999999997,0.015430761567579748,0.0153289219405599,0.014402722512051474
n1024_m112_s0.626327_seed1.h5,112,0.6263265306122449,1,1024,112,1.0,111.74051686032908,0.9976831862529382,0.9976831862529382,0.00231681374706183,0.04351504628563039,0.002316813747061531,2.008193997840215,0.10937499999999997,0.015343777252140426,0.015224955901278295,0.013974521412006613
n1024_m112_s0.646531_seed0.h5,112,0.6465306122448979,0,1024,112,1.0,111.73569455750112,0.9976401299776886,0.9976401299776886,0.0023598700223114166,0.04403294834014772,0.0023598700223111248,2.0208895480924385,0.10937499999999997,0.015526851532472666,0.015430212455215335,0.01453351365031116
n1024_m112_s0.646531_seed1.h5,112,0.6465306122448979,1,1024,112,1.0,111.74187149868521,0.9976952812382608,0.9976952812382608,0.0023047187617392106,0.044109053957878216,0.002304718761739278,2.021347558407389,0.109375,0.015288916403560329,0.014800743726506046,0.013050378892553807
n1024_m112_s0.666735_seed0.h5,112,0.666734693877551,0,1024,112,1.0,111.73157341999467,0.9976033341070953,0.9976033341070953,0.002396665892904659,0.04505062694230203,0.0023966658929047307,2.032723769028602,0.109375,0.01576139638355866,0.015594296279000294,0.014557088967126142
n1024_m112_s0.666735_seed1.h5,112,0.666734693877551,1,1024,112,1.0,111.73585848252696,0.9976415935939907,0.9976415935939907,0.0023584064060092613,0.04467076815887149,0.0023584064060090497,2.0333568241235547,0.10937499999999997,0.015725087084242917,0.015539696124366096,0.01403139217747128
n1024_m112_s0.686939_seed0.h5,112,0.6869387755102041,0,1024,112,1.0,111.73674181502429,0.9976494804912883,0.9976494804912883,0.0023505195087116793,0.046245615941468594,0.0023505195087121663,2.0426548916020653,0.10937500000000004,0.015959884479538593,0.015522763995406636,0.01384733950465246
n1024_m112_s0.686939_seed1.h5,112,0.6869387755102041,1,1024,112,1.0,111.73687076475471,0.997650631828167,0.997650631828167,0.002349368171832955,0.04529646494871429,0.0023493681718328207,2.042796511127268,0.109375,0.015911852642594114,0.015603060171882175,0.013942099299721991
n1024_m112_s0.707143_seed0.h5,112,0.7071428571428571,0,1024,112,1.0,111.73607251294015,0.9976435045798228,0.9976435045798228,0.0023564954201772403,0.0465512709964347,0.0023564954201771185,2.0520230055359048,0.109375,0.016235967062313436,0.01577681603776327,0.013914260226777813
n1024_m112_s0.707143_seed1.h5,112,0.7071428571428571,1,1024,112,1.0,111.73659136657079,0.9976481372015249,0.9976481372015249,0.0023518627984751017,0.04743672980308712,0.002351862798474916,2.052273134430418,0.10937499999999997,0.016180193514759907,0.01563278853688528,0.013451976090317678
n1024_m112_s0.727347_seed0.h5,112,0.7273469387755102,0,1024,112,1.0,111.95793013970251,0.9996243762473439,0.9996243762473439,0.0003756237526560957,0.0400066859917042,0.0003756237526557823,2.068752486594785,0.10937499999999997,0.0,0.0,0.0
n1024_m112_s0.727347_seed1.h5,112,0.7273469387755102,1,1024,112,1.0,111.73479565512389,0.9976321040636061,0.9976321040636061,0.00236789593639386,0.04871201176874309,0.0023678959363937256,2.071456869848876,0.10937499999999999,0.01640056452046242,0.015702434936389415,0.013271132391132617
n1024_m112_s0.747551_seed0.h5,112,0.7475510204081632,0,1024,112,1.0,111.95026862308441,0.999555969848968,0.999555969848968,0.0004440301510320044,0.04478596968730143,0.00044403015103203474,2.139182694212353,0.109375,0.0,0.0,0.0
n1024_m112_s0.747551_seed1.h5,112,0.7475510204081632,1,1024,112,1.0,111.95020856107294,0.9995554335810084,0.9995554335810084,0.00044456641899159877,0.04567970452146168,0.00044456641899134994,2.1828839066943435,0.10937499999999997,0.0,0.0,0.0
n1024_m112_s0.767755_seed0.h5,112,0.7677551020408163,0,1024,112,1.0,111.94629889697535,0.9995205258658514,0.9995205258658514,0.0004794741341486164,0.050123809265808304,0.00047947413414850163,2.29616917477243,0.10937499999999999,0.0,0.0,0.0
n1024_m112_s0.767755_seed1.h5,112,0.7677551020408163,1,1024,112,1.0,111.94409923057538,0.9995008859872802,0.9995008859872802,0.0004991140127198479,0.05295435954792694,0.0004991140127200277,2.381139440005255,0.10937500000000003,0.0,0.0,0.0
n1024_m112_s0.787959_seed0.h5,112,0.7879591836734694,0,1024,112,1.0,111.94173334958032,0.9994797620498242,0.9994797620498242,0.0005202379501757504,0.05886233683272865,0.0005202379501761149,2.5920321381244165,0.10937500000000006,0.0,0.0,0.0
n1024_m112_s0.787959_seed1.h5,112,0.7879591836734694,1,1024,112,1.0,111.94836908517755,0.9995390096890853,0.9995390096890853,0.00046099031091473286,0.0558483895251502,0.0004609903109151798,2.60970601822995,0.10937500000000004,0.0,0.0,0.0
n1024_m112_s0.808163_seed0.h5,112,0.8081632653061224,0,1024,112,1.0,111.94236434824415,0.9994853959664657,0.9994853959664657,0.000514604033534316,0.06292879364542138,0.0005146040335343895,2.781071625215213,0.109375,0.0,0.0,0.0
n1024_m112_s0.808163_seed1.h5,112,0.8081632653061224,1,1024,112,1.0,111.9401621040306,0.9994657330717018,0.9994657330717018,0.000534266928298166,0.06513777815060898,0.0005342669282980474,2.8270522631039245,0.10937499999999999,0.0,0.0,0.0
n1024_m112_s0.828367_seed0.h5,112,0.8283673469387755,0,1024,112,1.0,111.93578982105828,0.9994266948308775,0.9994266948308775,0.0005733051691224622,0.07237981649817088,0.0005733051691230958,3.0356969949905745,0.10937500000000006,0.0,0.0,0.0
n1024_m112_s0.828367_seed1.h5,112,0.8283673469387755,1,1024,112,1.0,111.94217226147885,0.9994836809060611,0.9994836809060611,0.0005163190939388995,0.0689599231405818,0.0005163190939390668,3.0443967897819575,0.10937500000000001,0.0,0.0,0.0
n1024_m112_s0.848571_seed0.h5,112,0.8485714285714285,0,1024,112,1.0,111.93166374435532,0.9993898548603154,0.9993898548603154,0.0006101451396846036,0.08210769234840076,0.000610145139684989,3.335785018579476,0.10937500000000003,0.0,0.0,0.0
n1024_m112_s0.848571_seed1.h5,112,0.8485714285714285,1,1024,112,1.0,111.93194143273286,0.9993923342208291,0.9993923342208291,0.0006076657791709295,0.08181262275975125,0.0006076657791712394,3.3335770112356147,0.10937500000000003,0.0,0.0,0.0
n1024_m112_s0.868776_seed0.h5,112,0.8687755102040816,0,1024,112,1.0,111.92553011211567,0.999335090286747,0.999335090286747,0.000664909713252948,0.09489636312073324,0.0006649097132533922,3.690945355433009,0.10937500000000006,0.0,0.0,0.0
n1024_m112_s0.868776_seed1.h5,112,0.8687755102040816,1,1024,112,1.0,111.9265871347452,0.9993445279887965,0.9993445279887965,0.0006554720112035284,0.09448914950200743,0.000655472011204236,3.703743320367449,0.10937500000000008,0.0,0.0,0.0
n1024_m112_s0.888980_seed0.h5,112,0.8889795918367347,0,1024,112,1.0,111.91680180018011,0.9992571589301795,0.9992571589301795,0.0007428410698204768,0.11585517671046125,0.0007428410698211101,4.26384578660182,0.10937500000000007,0.0,0.0,0.0
n1024_m112_s0.888980_seed1.h5,112,0.8889795918367347,1,1024,112,1.0,111.91991234905436,0.9992849316879854,0.9992849316879854,0.0007150683120146217,0.1133653233102294,0.0007150683120147875,4.2511929538945195,0.10937500000000003,0.0,0.0,0.0
n1024_m112_s0.909184_seed0.h5,112,0.9091836734693878,0,1024,112,1.0,111.91110470227432,0.9992062919845921,0.9992062919845921,0.0007937080154079013,0.1398117052511575,0.0007937080154087255,4.9777684069409736,0.10937500000000008,0.0,0.0,0.0
n1024_m112_s0.909184_seed1.h5,112,0.9091836734693878,1,1024,112,1.0,111.91202836325101,0.9992145389575983,0.9992145389575983,0.0007854610424017361,0.1393646152422923,0.000785461042402035,4.9882894046019866,0.10937500000000003,0.0,0.0,0.0
n1024_m112_s0.929388_seed0.h5,112,0.9293877551020407,0,1024,112,1.0,111.91208027766697,0.9992150024791694,0.9992150024791694,0.0007849975208306104,0.17049397730821092,0.0007849975208311997,6.100946616949463,0.10937500000000006,0.0,0.0,0.0
n1024_m112_s0.929388_seed1.h5,112,0.9293877551020407,1,1024,112,1.0,111.91213267244893,0.9992154702897226,0.9992154702897226,0.0007845297102774262,0.17107925718867167,0.0007845297102779231,6.126609188877364,0.10937500000000006,0.0,0.0,0.0
