m_hidden,sparsity,seed,checkpoint_step,n_clusters,mean_participation_ratio,mean_max_projection
144,0.34346938775510205,0,25000,32,36.84819754908314,0.11067320131348372
144,0.34346938775510205,1,25000,27,36.234915390102785,0.11600878220662571
144,0.3636734693877551,0,25000,21,30.735117994542478,0.1286665249991125
144,0.3636734693877551,1,25000,18,37.29103268295437,0.11300256416752794
144,0.38387755102040816,0,25000,8,28.27299841682691,0.1483364718344355
144,0.38387755102040816,1,25000,9,32.822109329405016,0.13001737029044777
144,0.4040816326530612,0,25000,16,17.09202185961292,0.17277840475244505
144,0.4040816326530612,1,25000,16,17.347406524543565,0.17966318141198323
144,0.42428571428571427,0,25000,22,15.709479135622823,0.17766328020691788
144,0.42428571428571427,1,25000,17,15.223407282035136,0.19149049585919686
144,0.44448979591836735,0,25000,20,17.709357510202352,0.17284498254055802
144,0.44448979591836735,1,25000,18,16.446568586236097,0.19112078820806555
144,0.4646938775510204,0,25000,16,17.225684619410398,0.19724220698705297
144,0.4646938775510204,1,25000,13,17.106353529369564,0.21281285292750723
144,0.48489795918367345,0,25000,12,17.585769235505058,0.2205742715957
144,0.48489795918367345,1,25000,11,17.67232100658652,0.21903480009885773
144,0.5051020408163265,0,25000,5,18.02970692338075,0.26279088844106047
144,0.5051020408163265,1,25000,5,18.335254636633728,0.26424768829744893
144,0.5253061224489796,0,25000,3,19.354035292843918,0.2558074280453586
144,0.5253061224489796,1,25000,2,19.88305217169092,0.2630029276814238
144,0.5455102040816326,0,25000,2,19.93740647797648,0.263035758755899
144,0.5455102040816326,1,25000,1,20.94986641335183,0.25018014936334837
144,0.5657142857142857,0,25000,1,21.103659242965293,0.24796060171077797
144,0.5657142857142857,1,25000,1,21.00348093635752,0.250962593545427
144,0.5859183673469388,0,25000,1,22.01261150100644,0.24073405551551286
144,0.5859183673469388,1,25000,1,21.09539974130039,0.25077935793446005
144,0.6061224489795918,0,25000,1,22.793462802279635,0.23950628432654608
144,0.6061224489795918,1,25000,1,21.540562697391962,0.2493377319626609
144,0.6263265306122449,0,25000,1,21.847098640726262,0.2431552446040498
144,0.6263265306122449,1,25000,1,21.469855825680973,0.2476472132388311
144,0.6465306122448979,0,25000,1,24.3300007198716,0.2312094985268351
144,0.6465306122448979,1,25000,1,22.420751133869068,0.24154450056707405
144,0.666734693877551,0,25000,1,23.986596897162855,0.2309332458216271
144,0.666734693877551,1,25000,1,23.129890936266733,0.23575216018103384
144,0.6869387755102041,0,25000,1,25.965762389721746,0.22259706858529682
144,0.6869387755102041,1,25000,1,24.30491471434504,0.2283521276168008
144,0.7071428571428571,0,25000,1,27.445792554099604,0.21313236889335113
144,0.7071428571428571,1,25000,1,25.4738149688079,0.22142584203600213
144,0.7273469387755102,0,25000,1,28.931599934511333,0.2059984900667517
144,0.7273469387755102,1,25000,27,48.68496159900931,0.06296133483941893
144,0.7475510204081632,0,25000,27,43.86355097842562,0.07821547386835746
144,0.7475510204081632,1,25000,27,42.143954607323565,0.07666394893919148
144,0.7677551020408163,0,25000,35,45.34357701924736,0.06905494306729315
144,0.7677551020408163,1,25000,30,45.47304730932677,0.07217699251548963
144,0.7879591836734694,0,25000,26,46.641267377876616,0.06641185137241282
144,0.7879591836734694,1,25000,29,46.99791799130735,0.064041475108092
144,0.8081632653061224,0,25000,30,47.8580981302248,0.06396500884487309
144,0.8081632653061224,1,25000,29,47.59212046103791,0.06393993195424343
144,0.8283673469387755,0,25000,27,48.296429198958705,0.06155970325171567
144,0.8283673469387755,1,25000,30,48.24362221527872,0.0613441920450206
144,0.8485714285714285,0,25000,28,47.28017537107003,0.06351735552599923
144,0.8485714285714285,1,25000,32,48.45985334796913,0.06039723237370759
144,0.8687755102040816,0,25000,27,48.13946945442825,0.06044554977008304
144,0.8687755102040816,1,25000,27,47.6947805794071,0.06188394927805079
144,0.8889795918367347,0,25000,30,47.93096960155472,0.06122307915476254
144,0.8889795918367347,1,25000,30,47.78863375972202,0.06186355054159402
144,0.9091836734693878,0,25000,32,49.066244048734646,0.05887997083303777
144,0.9091836734693878,1,25000,26,49.021917865141745,0.05920359695374129
144,0.9293877551020407,0,25000,23,49.10969347351999,0.05865243495441619
144,0.9293877551020407,1,25000,27,48.82238960470796,0.059339342363749006
144,0.9495918367346938,0,25000,26,49.06984531224238,0.05828663308170749
144,0.9495918367346938,1,25000,25,48.887784823139015,0.058812645282318776
144,0.9697959183673469,0,25000,28,49.22496238912386,0.05812866736780159
