cluster_k,n_features,slope,intercept,r_squared,p_value,std_err,eigenvalue,inv_eigenvalue,predicted_slope,slope_ratio,mean_participation_ratio,std_participation_ratio,mean_max_projection,std_max_projection,mean_ipr,mean_norm_sq,mean_D,m_hidden,sparsity,seed,checkpoint_step,slope_times_lambda,log_slope,log_inv_eigenvalue,localization_score
84,20,0.9881053427084707,-0.0008934258459250832,0.9995994175213042,4.926980908206284e-32,0.004662297395538098,1.0051789283752441,0.9948477745056152,0.9948477745056152,0.9932226497661966,30.02465786478664,4.73909221839954,0.09626606172572579,0.023039963288200144,0.034156728607852606,0.07661422092083055,0.0748094990849495,112,0.2626530612244898,0,25000,0.9932226695055539,-0.005196752458726492,-0.0022433672441080315,0.06427894505809914
85,20,0.9758334871155553,-7.821605235362739e-05,0.9990188445966887,1.5635330552438889e-28,0.007208111975522158,1.0050493478775024,0.9949760437011719,0.9949760437011719,0.9807607864462656,32.68063154667683,6.503137087949387,0.09242828104092984,0.0295060912019069,0.032065965490654914,0.08293394067971484,0.0808514952659607,112,0.2626530612244898,0,25000,0.980760809862518,-0.01062428253451176,-0.0021873757503929926,0.06029894882729515
86,22,0.9823427376418321,-0.0005191769634153021,0.9997351115662905,2.99695959894369e-37,0.003575502335494284,1.004978895187378,0.9950457811355591,0.9950457811355591,0.9872337095090941,31.91137175093817,6.696485527414352,0.09386578319567591,0.0350323715464038,0.03298680447954062,0.07806389666226259,0.07616633176803589,112,0.2626530612244898,0,25000,0.9872337191706327,-0.00773696119779585,-0.002156937307386131,0.06178972009005327
87,20,0.985964753332404,-0.0008360707032078057,0.9998409109584036,1.2107891363081633e-35,0.002931431960937271,1.00495445728302,0.9950699806213379,0.9950699806213379,0.9908496613642707,31.67351957128374,6.500498077374387,0.09602694198519639,0.027978000949298993,0.032841271528891144,0.08069036354192062,0.078721784055233,112,0.2626530612244898,0,25000,0.9908496735853527,-0.006138610116443292,-0.0021463754060725383,0.06403096432543556
88,23,0.987784315625491,-0.0009545068680747865,0.9997894084243172,4.2838512781766984e-40,0.0031283743030449535,1.0049078464508057,0.995116114616394,0.995116114616394,0.9926322176043452,31.832389288905667,5.980435227563568,0.08943870182206856,0.03332532673164115,0.032747558123497875,0.08171719994024124,0.0797644555568695,112,0.2626530612244898,0,25000,0.992632209373095,-0.005337873994859167,-0.0021262408673652583,0.057198585622619084
93,25,0.9821156815652605,-0.0005621442283784833,0.9996772590963602,1.170152980073191e-41,0.003679559469623112,1.0045570135116577,0.9954636693000793,0.9954636693000793,0.9865911854480798,31.837679013572235,6.244682466828328,0.08942098873630627,0.02979865081241108,0.03289740904645846,0.08193393628625527,0.07990645617246628,112,0.2626530612244898,0,25000,0.9865911959961643,-0.007837354467118961,-0.0019745854712464486,0.057180216148081595
96,21,0.9854044834617278,-0.0007550505526604384,0.9994233432784715,3.059706149416875e-32,0.005430273056531716,1.004361629486084,0.9956573247909546,0.9956573247909546,0.9897024397109925,32.957788435724446,5.632524474398376,0.08672428537116508,0.023177886689603768,0.03121146769614259,0.07661156168550853,0.07473832368850708,112,0.2626530612244898,0,25000,0.9897024527125139,-0.006385466073430997,-0.0018901069171132097,0.054383581814238975
98,28,0.9822061032390609,-0.0005303364493405155,0.9996627740426232,1.130627296873437e-46,0.0035379337207365846,1.0041803121566772,0.9958370923995972,0.9958370923995972,0.9863120290812921,33.19210987655534,6.005946329052464,0.0849447431988908,0.023786073003518152,0.031184720610742744,0.08164454571626631,0.07966143637895584,112,0.2626530612244898,0,25000,0.9863120313527937,-0.00779737157398254,-0.0018117013941084266,0.0525380956544208
99,28,0.9883086158060074,-0.0009297600911850334,0.9996556040344067,1.4862870015454565e-46,0.0035975739729436065,1.004150390625,0.9958667755126953,0.9958667755126953,0.992410471066477,30.278166133404536,4.957783297784974,0.0954425325018201,0.023687744276805783,0.03391036850438654,0.07879948536187167,0.07694844901561737,112,0.2626530612244898,0,25000,0.9924104826196554,-0.0051074185572829115,-0.001798756485547596,0.0634248985462475
103,26,0.9897733462718296,-0.0010129717045523484,0.9997664854839525,4.237651647142065e-45,0.0030877191268519734,1.0038431882858276,0.9961715340614319,0.9961715340614319,0.9935772228267589,32.12196964892723,5.6882712737827,0.08776310871439966,0.026277830572014726,0.032402633490608235,0.07611039600154493,0.07431907206773758,112,0.2626530612244898,0,25000,0.9935772316018459,-0.004464245536910567,-0.001665872538059618,0.05546090053829333
104,21,0.9861390962177319,-0.0008763815358918403,0.9994490263128163,1.9847368037458008e-32,0.005311858302007428,1.0036678314208984,0.996345579624176,0.996345579624176,0.9897560810072605,32.49989128762458,6.073503925966079,0.08661473631157712,0.022962857619221684,0.03202063597566731,0.07481018344270232,0.07289686799049377,112,0.2626530612244898,0,25000,0.9897560881802157,-0.006061822929732483,-0.0015900016437294278,0.05426997322634454
111,99,1.1154332404216325,-3.394487844624657e-06,0.9993371968527905,5.555551988657519e-156,0.0029167148309128302,0.8915899395942688,1.1215918064117432,1.1215918064117432,0.9945090843612584,1.3552672730715474,0.08727575669761059,0.8598079074406579,0.027168132241534342,0.7408174581287944,0.00014700860455829667,0.00016058378969319165,112,0.2626530612244898,0,25000,0.9945090554489628,0.047443582522932674,0.04983482797354221,0.856115143527094
70,22,0.9838135420233253,-0.000711335902932958,0.9998073791481886,1.2389952932800362e-38,0.0030534532779169826,1.0067452192306519,0.9932999610900879,0.9932999610900879,0.9904495928336171,30.677542171519747,7.082132918598922,0.09733491934151345,0.032427490059032775,0.03478589572235419,0.08221528630030107,0.08017318695783615,112,0.2626530612244898,1,25000,0.9904495800463567,-0.007087203747081104,-0.0029195815406123154,0.06538741102619217
71,23,0.9827076353044747,-0.0006015584513526795,0.9991612758211039,8.586768553042473e-34,0.006213073161497083,1.0065529346466064,0.9934897422790527,0.9934897422790527,0.9891472387527183,30.70548879025998,6.132110925794898,0.09682109787115802,0.027309300564744243,0.03397075766754105,0.08128697096235932,0.07927976548671722,112,0.2626530612244898,1,25000,0.9891472542153461,-0.007575669614283962,-0.002836612595034047,0.06485454901992317
