file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,n_eigenspaces,degeneracy_ratio,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,mean_cv,wmean_q_bin,wmean_H_bin,wmean_n_eff,wmean_max_space_proj,wmean_participation_ratio,defect_error,negD_frac,D_Dhat_corr,qual_rate
n1024_m112_s0.343469_seed1.h5,112,0.34346938775510205,1,1024,112,1.0,111.904344199982,0.9991459303569822,0.9991459303569822,111,0.9910714285714286,0.0008540696430178185,0.028867112902067282,0.0008540696430177304,1.0960539182852893,0.109375,0.0264598287914924,0.18606294272832105,2.675679709536053,15.164685806837548,0.11394730399302826,29.93095028054404,8.18789480661053e-15,0.0,0.9999999999999504,0.0
n1024_m112_s0.363673_seed0.h5,112,0.3636734693877551,0,1024,112,1.0,111.85877910106501,0.9987390991166519,0.9987390991166519,111,0.9910714285714286,0.0012609008833480706,0.03263036865734449,0.0012609008833477434,1.127917299384875,0.10937499999999996,0.029365937420516745,0.26435175700227764,2.3237885019913125,10.851354612218943,0.14615769303905948,18.680147873523694,4.1799896877137144e-14,0.0,0.9999999999999488,0.0
n1024_m112_s0.363673_seed1.h5,112,0.3636734693877551,1,1024,112,1.0,111.8511081692559,0.9986706086540705,0.9986706086540705,110,0.9821428571428571,0.0013293913459294648,0.03372497066710426,0.0013293913459290678,1.1277333105452452,0.10937499999999994,0.030423667644208365,0.2731918898411761,2.328300821504909,10.785913266301408,0.1542517195156719,18.13422451439341,5.0182080713057076e-14,0.0,0.9999999999999506,0.0
n1024_m112_s0.383878_seed0.h5,112,0.38387755102040816,0,1024,112,1.0,111.78423313502572,0.9980735101341581,0.9980735101341581,106,0.9464285714285714,0.0019264898658418739,0.03793089023459061,0.0019264898658415978,1.1598203625106045,0.10937499999999997,0.033909566924361076,0.2781210723064343,2.087128003559502,8.243079689868987,0.13968399887308483,20.850132242390675,2.5590640717609858e-14,0.0,0.999999999999956,0.0
n1024_m112_s0.383878_seed1.h5,112,0.38387755102040816,1,1024,112,1.0,111.79205518729577,0.9981433498865694,0.9981433498865694,109,0.9732142857142857,0.0018566501134306135,0.03740479309004683,0.0018566501134299257,1.163034455124122,0.10937499999999993,0.03331619514880883,0.31641834337096936,2.089833847472763,8.333071414836997,0.15352415350785542,20.55990775669255,7.577272143066693e-14,0.0,0.999999999999937,0.0
n1024_m112_s0.404082_seed0.h5,112,0.4040816326530612,0,1024,112,1.0,111.69511867972324,0.9972778453546718,0.9972778453546718,107,0.9553571428571429,0.002722154645328212,0.045692456470057756,0.002722154645327548,1.2458168571666253,0.10937499999999992,0.039439885792545475,0.4541687780122591,1.489806473924069,4.664556459877123,0.21067209827678104,13.728975173649781,7.793765632868599e-14,0.0,0.999999999999947,0.0
n1024_m112_s0.404082_seed1.h5,112,0.4040816326530612,1,1024,112,1.0,111.69546585610078,0.997280945143757,0.997280945143757,108,0.9642857142857143,0.0027190548562430195,0.04790972161710339,0.0027190548562425333,1.2300869140085622,0.10937499999999994,0.04163510484963321,0.43817972223960894,1.5595681439121036,5.0096120260626575,0.21444569963922983,12.842213514810933,5.5011550870176507e-14,0.0,0.9999999999999344,0.0
n1024_m112_s0.424286_seed0.h5,112,0.42428571428571427,0,1024,112,1.0,111.6143472038093,0.9965566714625831,0.9965566714625831,102,0.9107142857142857,0.003443328537416912,0.053383998716907834,0.003443328537416223,1.3700936440345122,0.10937499999999992,0.04530309778309196,0.5200663034381121,1.2531114825022325,3.606983510145546,0.2034080977990002,13.478647631266266,8.093525849517391e-14,0.0,0.9999999999999398,0.0028739751466588834
n1024_m112_s0.424286_seed1.h5,112,0.42428571428571427,1,1024,112,1.0,111.6235961986531,0.9966392517736884,0.9966392517736884,104,0.9285714285714286,0.003360748226311605,0.053920132626737345,0.003360748226311125,1.3404880266822132,0.10937499999999994,0.04610721695712505,0.4907701106593729,1.3714832804805799,4.00668615183301,0.20097307818380677,12.726132854804241,5.051514762044462e-14,0.0,0.9999999999999377,0.0
n1024_m112_s0.444490_seed0.h5,112,0.44448979591836735,0,1024,112,1.0,111.56690364766109,0.9961330682826883,0.9961330682826883,106,0.9464285714285714,0.0038669317173116724,0.057773476587326185,0.0038669317173111286,1.4912570094767135,0.10937499999999994,0.047938379893320573,0.4104900962541285,1.4521484492210563,4.412909200312547,0.17048776877473037,20.030181731198834,6.117328865684613e-14,0.0,0.9999999999999427,0.022592167470770315
n1024_m112_s0.444490_seed1.h5,112,0.44448979591836735,1,1024,112,1.0,111.56048657666543,0.9960757730059413,0.9960757730059413,99,0.8839285714285714,0.003924226994058699,0.05821260034284579,0.003924226994058042,1.5049618687365374,0.10937499999999992,0.048443793439640524,0.4674038280564137,1.316589675995098,4.087056947620557,0.15449764501345792,21.20769905650631,7.427392034742297e-14,0.0,0.9999999999999332,0.1069749285167344
n1024_m112_s0.464694_seed0.h5,112,0.4646938775510204,0,1024,112,1.0,111.52419702743646,0.9957517591735398,0.9957517591735398,98,0.875,0.004248240826460248,0.0605184711029674,0.004248240826459659,1.5871367023470038,0.10937499999999994,0.049008946385739056,0.45899408074685927,1.307381920474103,3.9779333260161844,0.1462872988987825,22.343600602328724,6.050715484207103e-14,0.0,0.9999999999999246,0.08345759392395709
n1024_m112_s0.464694_seed1.h5,112,0.4646938775510204,1,1024,112,1.0,111.53667091888201,0.9958631332043036,0.9958631332043036,105,0.9375,0.004136866795696359,0.059184397406856736,0.004136866795695417,1.5829221717504696,0.1093749999999999,0.047655309579302765,0.4204285709610024,1.3921736529480773,4.195676956278655,0.14817099332611744,23.02347163384668,1.0391687510491465e-13,0.0,0.9999999999999387,0.013763061714163293
n1024_m112_s0.484898_seed0.h5,112,0.48489795918367345,0,1024,112,1.0,111.49430605449015,0.9954848754865192,0.9954848754865192,100,0.8928571428571429,0.004515124513480795,0.059466487147696714,0.004515124513480436,1.6945864267231283,0.10937499999999996,0.04568147861549257,0.3954182967698301,1.4377194220344403,4.423801809075048,0.12036871888470224,26.54585378079761,3.863576125695545e-14,0.0,0.9999999999999385,0.029216351783398195
n1024_m112_s0.484898_seed1.h5,112,0.48489795918367345,1,1024,112,1.0,111.50395522904,0.9955710288307144,0.9955710288307144,106,0.9464285714285714,0.004428971169285645,0.05983473806775663,0.004428971169284922,1.6829060037977979,0.10937499999999992,0.046117843540739084,0.3972807821302598,1.4405811775444581,4.410476059232816,0.12307700677136094,27.085155728450015,8.698597397938101e-14,0.0,0.9999999999999479,0.014863593833800868
n1024_m112_s0.505102_seed0.h5,112,0.5051020408163265,0,1024,112,1.0,111.48587256448809,0.9954095764686437,0.9954095764686437,107,0.9553571428571429,0.004590423531356302,0.05983389542895028,0.00459042353135585,1.7561529622901741,0.10937499999999994,0.0442361019342343,0.34356347954512595,1.5183830540742527,4.618404660525942,0.12210524083168599,28.576507291883352,5.484501741648273e-14,0.0,0.9999999999999484,0.006054887620198817
n1024_m112_s0.505102_seed1.h5,112,0.5051020408163265,1,1024,112,1.0,111.48971662991971,0.995443898481426,0.995443898481426,108,0.9642857142857143,0.004556101518573996,0.05988737896305934,0.004556101518573223,1.7484454052474654,0.10937499999999992,0.044849695105153325,0.374767078737888,1.4577601417614627,4.419209698562835,0.11830759711229573,28.771370708428826,8.715250743307479e-14,0.0,0.999999999999949,0.008296317880534611
n1024_m112_s0.525306_seed0.h5,112,0.5253061224489796,0,1024,112,1.0,111.52020374398853,0.9957161048570404,0.9957161048570404,111,0.9910714285714286,0.004283895142959571,0.0538478143333763,0.004283895142959339,1.8472069950344727,0.10937499999999997,0.036132444624198456,0.33158815573143674,1.52960089906967,4.670293643577292,0.09732473249647512,33.35312297215153,2.270406085358445e-14,0.0,0.9999999999999515,0.00045344302779499064
n1024_m112_s0.525306_seed1.h5,112,0.5253061224489796,1,1024,112,1.0,111.49973428049998,0.9955333417901784,0.9955333417901784,107,0.9553571428571429,0.004466658209821617,0.056499564625318466,0.0044666582098215986,1.8245106831896405,0.109375,0.03950545465990409,0.3517515318752255,1.46930764945089,4.428850333738238,0.11021344921846145,31.352166734682164,2.1094237467877974e-15,0.0,0.999999999999952,0.007861340556118781
n1024_m112_s0.545510_seed0.h5,112,0.5455102040816326,0,1024,112,1.0,111.57980973542726,0.996248301209172,0.996248301209172,107,0.9553571428571429,0.0037516987908280397,0.04956733165469367,0.0037516987908279053,1.9022857143254763,0.10937499999999997,0.030546712847545215,0.3139527707869111,1.5540639780643322,4.752216434760757,0.0942713052186285,33.80966627272743,1.3156142841808105e-14,0.0,0.9999999999999624,0.0
n1024_m112_s0.545510_seed1.h5,112,0.5455102040816326,1,1024,112,1.0,111.52511648584914,0.995759968623653,0.995759968623653,110,0.9821428571428571,0.004240031376346987,0.05338563735741686,0.004240031376346389,1.8873853774198264,0.10937499999999993,0.034774379185654916,0.32390802507362826,1.5042776198968935,4.535364951417994,0.09395807107100033,33.97493282997914,6.561418075534675e-14,0.0,0.9999999999999607,0.00023490170902604505
n1024_m112_s0.565714_seed0.h5,112,0.5657142857142857,0,1024,112,1.0,111.61212936225638,0.9965368693058606,0.9965368693058606,109,0.9732142857142857,0.0034631306941393936,0.04750274650103146,0.003463130694139245,1.9371036470550154,0.10937499999999997,0.028057059993015155,0.31599697121875364,1.5318432143831722,4.63641886358003,0.08663217498041045,36.099435669296994,2.19824158875781e-14,0.0,0.9999999999999646,0.0
n1024_m112_s0.565714_seed1.h5,112,0.5657142857142857,1,1024,112,1.0,111.575557929973,0.9962103386604733,0.9962103386604733,110,0.9821428571428571,0.0037896613395267398,0.049683509550320894,0.0037896613395267237,1.929199928047304,0.109375,0.0304034235517557,0.310769060023167,1.5246394239963608,4.611241755856001,0.09046106951874466,35.43312238866422,5.440092820663267e-15,0.0,0.9999999999999634,0.0
n1024_m112_s0.585918_seed0.h5,112,0.5859183673469388,0,1024,112,1.0,111.6623681178462,0.9969854296236268,0.9969854296236268,107,0.9553571428571429,0.0030145703763732046,0.04587822188684118,0.0030145703763730315,1.9661748585657077,0.10937499999999999,0.02567424849275389,0.30582904253510135,1.5397673977353268,4.670956379154285,0.08135352622860109,36.55932446738497,2.142730437526552e-14,0.0,0.9999999999999559,0.0
n1024_m112_s0.585918_seed1.h5,112,0.5859183673469388,1,1024,112,1.0,111.60590372249135,0.9964812832365298,0.9964812832365298,110,0.9821428571428571,0.0035187167634701533,0.048379663677479236,0.0035187167634698003,1.9586262453767762,0.10937499999999997,0.0283291345709031,0.30832673153949286,1.53501376646098,4.65167102891138,0.08523305232884784,36.20676972138217,3.419486915845482e-14,0.0,0.9999999999999625,0.0
n1024_m112_s0.606122_seed0.h5,112,0.6061224489795918,0,1024,112,1.0,111.73990981755196,0.9976777662281425,0.9976777662281425,110,0.9821428571428571,0.0023222337718574737,0.042547660817534194,0.002322233771857362,1.9930295676454715,0.10937499999999999,0.022386731299602815,0.30772446319943386,1.534556977226194,4.643447936706686,0.07590759896003609,38.08215495348026,1.4488410471358293e-14,0.0,0.9999999999999615,0.0
n1024_m112_s0.606122_seed1.h5,112,0.6061224489795918,1,1024,112,1.0,111.74414149440418,0.9977155490571802,0.9977155490571802,109,0.9732142857142857,0.0022844509428198156,0.042330498715970735,0.002284450942819718,1.9925376278277298,0.10937499999999997,0.02230539922960467,0.3064842738070512,1.5298503326887551,4.623250852950115,0.07974841896093444,36.541762708422006,1.6542323066914832e-14,0.0,0.9999999999999509,0.0
n1024_m112_s0.626327_seed0.h5,112,0.6263265306122449,0,1024,112,1.0,111.73759866473847,0.997657130935165,0.997657130935165,109,0.9732142857142857,0.0023428690648350514,0.04357105880882198,0.0023428690648347665,2.008568140478251,0.10937499999999997,0.022749986423622144,0.29269049041334727,1.547977775220321,4.705606897841326,0.07655017790051423,37.563865625288585,3.530509218307998e-14,0.0,0.9999999999999234,0.0
